target,model,fp,seed,split,rmse,mae,r2,spearman,ece,cov90,seconds
Tg,DropoutMLP,RDKit,0,test,39.34981467478391,27.157923558785082,0.8752913711099221,0.13426990163075542,0.28779472954230234,0.44244105409153955,267.4
Tg,DropoutMLP,RDKit,0,train,23.42961839567625,15.920403766645313,0.9567034852697525,0.1365006646612852,0.1513084364281035,0.6592091571279917,267.4
Tg,DropoutMLP,RDKit,1,test,40.54891244253839,28.35068824704907,0.867575133780928,0.15425106620541293,0.2964247187548159,0.4389736477115118,76.2
Tg,DropoutMLP,RDKit,1,train,25.67491664582662,17.560380511870015,0.9480075129484422,0.14486465028546672,0.1805411030176899,0.6262573707943114,76.2
Tg,DropoutMLP,RDKit,2,test,40.01822944181897,28.43842358162929,0.871018666828695,0.12503952228253717,0.288488210818308,0.4445214979195562,73.0
Tg,DropoutMLP,RDKit,2,train,27.198868079172527,19.042525645589123,0.9416522425553677,0.1971095747055158,0.19429991906578803,0.6012833853624696,73.0
Tg,DropoutMLP,RDKit,3,test,40.01324352241646,28.10025709140214,0.8710508047058014,0.13695357984989645,0.28925874556942516,0.4188626907073509,71.8
Tg,DropoutMLP,RDKit,3,train,29.193626141978974,20.393793891739413,0.9327799870434538,0.148892887557766,0.22445754807877596,0.5443981963232744,71.8
Tg,DropoutMLP,RDKit,4,test,39.66659175490421,27.701045604183673,0.8732754100095507,0.10454257374882885,0.271767606719063,0.45561719833564496,70.5
Tg,DropoutMLP,RDKit,4,train,26.568975440089908,18.453429135783544,0.9443234748669779,0.11710137890519098,0.17743862488919726,0.6196670135275755,70.5
Tg,QuantileRandomForest,RDKit,0,test,38.62330470708307,26.205419556171982,0.8798538157501685,0.36768100790098496,0.08028972106642006,0.9022191400832178,2107.8
Tg,QuantileRandomForest,RDKit,0,train,16.867928004325915,7.715359868192855,0.9775588047127126,0.026185679968918137,0.32992253439704006,0.9908081859174471,2107.8
Tg,QuantileRandomForest,RDKit,1,test,38.67303847001544,26.274724341192787,0.8795442011800233,0.35666905659040726,0.07890275851440896,0.9070735090152566,123.0
Tg,QuantileRandomForest,RDKit,1,train,18.00482208721596,7.941866978841486,0.9744317987357941,0.03249060748499576,0.32682005626854743,0.9894207422823448,123.0
Tg,QuantileRandomForest,RDKit,2,test,38.67387801714557,26.36105582524272,0.8795389712098995,0.38112698035006237,0.07728463553706269,0.9008321775312067,124.7
Tg,QuantileRandomForest,RDKit,2,train,17.097286333784233,7.745645594866459,0.976944376167533,0.025794483338183797,0.32795698924731176,0.991675338189386,124.7
Tg,QuantileRandomForest,RDKit,3,test,38.328350073443836,26.182543342579752,0.8816818499158185,0.384254884248693,0.08260132531977189,0.9022191400832178,123.3
Tg,QuantileRandomForest,RDKit,3,train,17.35918133450514,7.912402011793271,0.9762326376500949,0.035223746348943145,0.3271283770763479,0.9911550468262227,123.3
Tg,QuantileRandomForest,RDKit,4,test,38.25714751022261,26.287968099861303,0.8821210407705474,0.38083949910229253,0.08075204191709043,0.9036061026352289,126.3
Tg,QuantileRandomForest,RDKit,4,train,17.291863585838435,7.8604405133541455,0.9764166167231749,0.05595210284061403,0.3288819516707134,0.9913284772806105,126.3
Tg,DropoutMLP,Morgan,0,test,38.73986102837968,27.182413481786416,0.8791275740423267,0.05900372555649739,0.3153798736323008,0.37447988904299584,246.6
Tg,DropoutMLP,Morgan,0,train,21.596103601888597,14.002178285747114,0.9632147838647526,0.1359882499074098,0.1649901722742514,0.63579604578564,246.6
Tg,DropoutMLP,Morgan,1,test,40.283259039726325,28.195305202413195,0.8693045946931401,0.04007946000090075,0.32216057944213294,0.35991678224687934,76.6
Tg,DropoutMLP,Morgan,1,train,22.928070885915595,14.603127454223007,0.9585373038401507,0.11962082311866909,0.168343161059082,0.6331945889698231,76.6
Tg,DropoutMLP,Morgan,2,test,41.10275957897529,29.096016534593335,0.8639329142505748,0.02937125689664043,0.3619201725997842,0.2947295423023578,67.8
Tg,DropoutMLP,Morgan,2,train,31.462629029981198,21.89712391568978,0.9219249039950038,0.06953036472729777,0.3124831387058234,0.38189386056191466,67.8
Tg,DropoutMLP,Morgan,3,test,38.5935890206839,26.807124746169933,0.8800386188344377,0.07649579094031773,0.3072892587455694,0.3828016643550624,87.9
Tg,DropoutMLP,Morgan,3,train,19.14559031769969,11.54044023977296,0.9710892052321004,0.1422777547419615,0.08525070335684282,0.7379465834200486,87.9
Tg,DropoutMLP,Morgan,4,test,40.200700000525515,27.93168749568408,0.869839756465361,0.056972132105099105,0.3199260286638928,0.35714285714285715,75.8
Tg,DropoutMLP,Morgan,4,train,22.702527415830016,14.904688273821874,0.9593490288532696,0.1293676889980113,0.17709176398042165,0.6189732917100242,75.8
Tg,DropoutMLP,TopologicalTorsion,0,test,40.91297246801349,28.02995923643387,0.8651865604898399,0.18452904015788474,0.3059793496686701,0.39944521497919555,260.3
Tg,DropoutMLP,TopologicalTorsion,0,train,25.515592599183098,17.6653784935655,0.948650782931071,0.20213401076897494,0.2249585693914518,0.548040235865418,260.3
Tg,DropoutMLP,TopologicalTorsion,1,test,40.83253629794155,27.98727114881147,0.8657161341871922,0.17272494371731015,0.31861611958699343,0.391123439667129,78.1
Tg,DropoutMLP,TopologicalTorsion,1,train,24.880667399362377,16.436449876916914,0.9511745157758987,0.24096676262845046,0.18842255366709063,0.5966007630939993,78.1
Tg,DropoutMLP,TopologicalTorsion,2,test,40.18981213061494,27.635701776533782,0.8699102515506605,0.19019890975719925,0.31684388965942367,0.38626907073509015,83.2
Tg,DropoutMLP,TopologicalTorsion,2,train,23.151866881508898,15.37521696941794,0.9577239365503123,0.283243239894951,0.19302809573361082,0.6012833853624696,83.2
Tg,DropoutMLP,TopologicalTorsion,3,test,39.948363001822024,27.062469814437932,0.8714686417674525,0.1836367369575842,0.31314532285406077,0.3855755894590846,76.7
Tg,DropoutMLP,TopologicalTorsion,3,train,24.620549093603465,16.61828810599522,0.9521900844496928,0.2318774338636583,0.2085404863760743,0.5714533472077696,76.7
Tg,DropoutMLP,TopologicalTorsion,4,test,42.086796441196576,29.191983824682303,0.8573397894617417,0.10172019947459064,0.3357219910617969,0.33703190013869627,71.9
Tg,DropoutMLP,TopologicalTorsion,4,train,30.92822907081546,21.721470808097838,0.9245546262560429,0.12906739873965448,0.27775850772729027,0.43600416233090533,71.9
Tg,DropoutMLP,AtomPair,0,test,40.52258278243119,29.345708547628455,0.8677470530505617,0.08310610111543928,0.33556788411157346,0.3522884882108183,210.5
Tg,DropoutMLP,AtomPair,0,train,20.89530238119954,14.243410880414407,0.9655634347116232,0.09798090895989024,0.17547307973946893,0.6272979535206382,210.5
Tg,DropoutMLP,AtomPair,1,test,40.2570385274426,29.19313405022441,0.8694746795011357,0.09770234822624815,0.35421482508861146,0.3106796116504854,72.6
Tg,DropoutMLP,AtomPair,1,train,27.702622766522072,18.880346465406944,0.9394708905888081,0.08356550309204812,0.26401896172967976,0.48109608047173086,72.6
Tg,DropoutMLP,AtomPair,2,test,41.11957957229353,30.097974661783976,0.8638215292353313,0.040557440320280316,0.37494220989366617,0.2697642163661581,68.7
Tg,DropoutMLP,AtomPair,2,train,34.381109526322085,24.374038107456467,0.9067685833408564,0.029034848806385526,0.3278028288434116,0.35674644467568506,68.7
Tg,DropoutMLP,AtomPair,3,test,40.15257504708389,29.307413153960802,0.8701512040926476,0.09400571566138897,0.34820465402989675,0.3231622746185853,73.1
Tg,DropoutMLP,AtomPair,3,train,26.117640453836398,18.13092389093466,0.9461989953527712,0.05456522806995671,0.24226307472925582,0.5133541449878599,73.1
Tg,DropoutMLP,AtomPair,4,test,40.57216780371391,29.408516975459996,0.867423195245459,0.05756763342178002,0.3441978733240869,0.32662968099861306,68.8
Tg,DropoutMLP,AtomPair,4,train,30.214338661641616,21.173660350901063,0.9279973147530216,0.050516077729528215,0.284445215246464,0.44190079778009017,68.8
Tg,QuantileRandomForest,AtomPair,0,test,39.82968886799898,26.776891470180303,0.8722311606789863,0.3789402815207598,0.15179534597010325,0.9459084604715673,1690.8
Tg,QuantileRandomForest,AtomPair,0,train,15.394574755917727,5.366579084287201,0.9813079083626174,0.21662787303060338,0.425386364512275,0.9963579604578564,1690.8
Tg,QuantileRandomForest,AtomPair,1,test,40.43168953269543,27.18984223300971,0.8683396815410844,0.3788163764638045,0.14416705193404222,0.9396671289875174,97.4
Tg,QuantileRandomForest,AtomPair,1,train,17.52500849988389,5.833306451612904,0.975776383502015,0.21269737628708843,0.4219948356264693,0.9928893513701006,97.4
Tg,QuantileRandomForest,AtomPair,2,test,40.321440193541946,27.092976768377255,0.8690567266535008,0.381776009097864,0.14848204654029898,0.9445214979195562,99.1
