split,target,model,fp,n_seeds,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std,spearman_mean,spearman_std,ece_mean,ece_std,cov90_mean,cov90_std
test,Bulk_modulus_GPa,DropoutMLP,AtomPair,5,1.06740733902329,0.04879309067787161,0.6109737807714023,0.044458968512938554,-1.0168689685131043,0.18697593235925436,-0.27699145299145295,0.06758101876600048,0.17521367521367523,0.04368600064158306,0.6384615384615385,0.03440104580768906
test,Bulk_modulus_GPa,DropoutMLP,MACCS,5,0.6182241363239289,0.02852950342659911,0.3904862563353319,0.008869936718687693,0.323413838239779,0.06165808910059129,-0.4605128205128205,0.06893277641694243,0.10358974358974357,0.021985923149009462,0.7846153846153846,0.05160156871153363
test,Bulk_modulus_GPa,DropoutMLP,Morgan,5,0.8590468676302162,0.03550292417053081,0.5178466947848981,0.05768159489858275,-0.3059263126381751,0.10888341355964314,-0.331008547008547,0.15774404913999915,0.11367521367521369,0.062480912418793395,0.676923076923077,0.06435846357954425
test,Bulk_modulus_GPa,DropoutMLP,RDKit,5,1.088389171265698,0.017749803424475085,0.6366705681745822,0.0241833802713479,-1.093884635908354,0.06895612624505595,-0.3866666666666666,0.13448288147092305,0.2117948717948718,0.045139211297083544,0.5615384615384615,0.05832981110808884
test,Bulk_modulus_GPa,DropoutMLP,TopologicalTorsion,5,0.9209550698920405,0.02237847389489521,0.5014626061109396,0.026445307247669754,-0.49959475452702096,0.07199091096383654,-0.465025641025641,0.1710943578126717,0.07470085470085472,0.026333942241702716,0.7461538461538462,0.034401045807689094
test,Bulk_modulus_GPa,QuantileRandomForest,AtomPair,5,0.5317199984824128,0.02236607961464519,0.38823076923076927,0.021866327528549435,0.49965193869430446,0.0423225348396788,0.6458354300797666,0.035729800333831635,0.08393162393162394,0.027724472193171663,0.823076923076923,0.05160156871153355
test,Bulk_modulus_GPa,QuantileRandomForest,MACCS,5,0.577302132798498,0.01732464913056516,0.40404230769230765,0.01769932657596338,0.41059877217993285,0.035302721530630514,0.5652618076438685,0.14093967599041143,0.07760683760683763,0.028259465918202154,0.823076923076923,0.021066252211737177
test,Bulk_modulus_GPa,QuantileRandomForest,Morgan,5,0.5464867219933793,0.013216357522541971,0.3811038461538462,0.016529993359749813,0.471975201677011,0.025313170397705777,0.5045965270842021,0.11659595539962095,0.12205128205128206,0.022559893417303047,0.7153846153846153,0.03440104580768911
test,Bulk_modulus_GPa,QuantileRandomForest,RDKit,5,0.559865592768485,0.034396073179701434,0.3788999999999999,0.02289545800025459,0.44439150227706464,0.06812380074742107,0.6495845859906713,0.0726440564412014,0.07572649572649574,0.029660705815962304,0.7461538461538462,0.043852900965351486
test,Bulk_modulus_GPa,QuantileRandomForest,TopologicalTorsion,5,0.5590647522467289,0.01292065779964842,0.3965653846153846,0.013796643586769733,0.44741169378866097,0.025400129088755587,0.4572700329611797,0.04956294007341341,0.1652991452991453,0.033418694121840196,0.6461538461538462,0.03217923178977211
test,Bulk_modulus_GPa,torch-GNN,graph,5,0.7328741548377148,0.03084553986848204,0.5992066327755268,0.03078772988240142,0.049470130282958144,0.08121465922271708,,,,,0.0,0.0
test,Bulk_modulus_GPa,torch-GREA,graph,5,0.6503298164767044,0.03633838425991525,0.45947284714625436,0.024145346313844972,0.2507225158371055,0.08633619729986455,-0.08512820512820514,0.20142236566846847,0.3,0.05417414688989988,0.5384615384615385,0.11854642313401875
test,CH4_msa_log10,DropoutMLP,AtomPair,5,0.5942035704910303,0.041361247838143024,0.4556713576434424,0.040797289524876004,0.8198820365031155,0.02495729712832313,0.011435211977523474,0.11271704624755717,0.3017842660178427,0.040989524008454785,0.40729927007299266,0.06989789559050576
test,CH4_msa_log10,DropoutMLP,MACCS,5,0.6036082406720682,0.019240291255190594,0.4691974570316645,0.00993965648733704,0.8147025081032053,0.012000405305421452,0.06945227472137697,0.040871181282452755,0.32514193025141935,0.026290385571486184,0.3708029197080292,0.010826567134446225
test,CH4_msa_log10,DropoutMLP,Morgan,5,0.5760560387035151,0.02264950420825138,0.4140253592385001,0.025783505285077727,0.8311610674681733,0.013259143305605296,0.17133029663785537,0.11534607508395386,0.36066504460665044,0.02478224252696919,0.28029197080291973,0.034469252417861605
test,CH4_msa_log10,DropoutMLP,RDKit,5,0.6249556420398876,0.029161709514788286,0.48982162889252406,0.028770402750895728,0.801179771066167,0.01880300506612653,-0.05652360595142532,0.08603184806580208,0.2990267639902676,0.034060363681726866,0.4087591240875913,0.04224757993719061
test,CH4_msa_log10,DropoutMLP,TopologicalTorsion,5,0.5908389137838704,0.04811799926973078,0.44546272471727894,0.04234327468415744,0.821662444849399,0.02889928275955281,0.1359773741295947,0.08787776727982553,0.33892944038929446,0.021599908097200127,0.34306569343065696,0.027794792357167544
test,CH4_msa_log10,QuantileRandomForest,AtomPair,5,0.5945291767652943,0.01669684824123941,0.46183872457757413,0.008590958805879087,0.8202674890189133,0.010088921723208391,0.3131134828863778,0.05307140051782356,0.07099756690997565,0.005410731249365228,0.9372262773722628,0.003997974872300492
test,CH4_msa_log10,QuantileRandomForest,MACCS,5,0.7586407984536516,0.033581842895715086,0.5443958313234635,0.00978278463884646,0.7070732748335729,0.025875894683797484,0.2968259469739132,0.04334707387147838,0.022270884022708853,0.009256691628214037,0.8846715328467154,0.016644896716775708
test,CH4_msa_log10,QuantileRandomForest,Morgan,5,0.6193726697063159,0.016735264178343593,0.46127934750984423,0.018128547247511853,0.8049418928276438,0.010456874858862784,0.3607614962361784,0.05658765090138975,0.05046228710462288,0.00797915047427792,0.818978102189781,0.026012452089351025
test,CH4_msa_log10,QuantileRandomForest,RDKit,5,0.6135102603049065,0.03398384957722479,0.45491853231364543,0.017820497943593097,0.8082591036043872,0.02180742165044849,0.15995141661106788,0.054469825188747836,0.05633414436334146,0.011752045903674093,0.8642335766423358,0.019721541731542083
test,CH4_msa_log10,QuantileRandomForest,TopologicalTorsion,5,0.5766469526923154,0.021142565207738363,0.44807391414732134,0.01368004851214263,0.8308417584020775,0.012477402288103645,0.35054141716338993,0.04863790914766128,0.03404703974047041,0.005720608081629421,0.8394160583941606,0.015484090098975474
test,CH4_msa_log10,torch-GNN,graph,5,0.5346698545604546,0.02327949847208125,0.3934557966056915,0.015604595861129573,0.8545090783545225,0.012549529273612355,,,,,0.0,0.0
test,CH4_msa_log10,torch-GREA,graph,5,0.6092918991448482,0.037008535833992794,0.4679755043224919,0.02431549432638077,0.8107930459150452,0.02346331410439873,0.11064156992371603,0.04862229447726837,0.29107866991078674,0.021500709916794158,0.49489051094890507,0.07251669609938563
test,CO2_msa_log10,DropoutMLP,AtomPair,5,0.681021389351751,0.022603392527719392,0.41651275050046105,0.015600979987805899,0.7104656011235448,0.019557474871677298,0.011571279191355869,0.07243619230982626,0.2689477557027226,0.033059396415357295,0.47152317880794703,0.042765256399901856
test,CO2_msa_log10,DropoutMLP,MACCS,5,0.6710932164753128,0.0187332958046186,0.4171632243556965,0.017376510350341615,0.7189183853272079,0.015687415451810027,0.24655768560474028,0.027550097021902996,0.30382634289919064,0.018348725437535917,0.4066225165562914,0.026737257269121007
test,CO2_msa_log10,DropoutMLP,Morgan,5,0.683463016416072,0.033383091635935044,0.37871022726715253,0.025198740632626712,0.7080864633141497,0.028841463996046354,0.04932450331125827,0.07529462308535996,0.29867549668874177,0.02651356165130565,0.3827814569536424,0.04377879173785009
test,CO2_msa_log10,DropoutMLP,RDKit,5,0.771905695532399,0.022277231694814242,0.44907035542298035,0.03300205944504353,0.6281105398200746,0.02151189704368316,-0.036411990240501915,0.010644396725659564,0.2286239882266373,0.01679897356894898,0.5350993377483444,0.04476938749974987
test,CO2_msa_log10,DropoutMLP,TopologicalTorsion,5,0.7434432116196166,0.025299395323472217,0.42814752214323304,0.018817444378420506,0.6549406058629164,0.023920733179773775,0.06602161031718368,0.10676946111109822,0.29367181751287713,0.02762372674037993,0.41192052980132454,0.042765256399901835
